,Date_YMD,Date_Hour,Presence or absence of a person,Accumulation of accidents
0,2021-01-01,0:00,0,0
1,2021-01-01,1:00,0,0
2,2021-01-01,2:00,1,1
3,2021-01-01,3:00,0,1
4,2021-01-01,4:00,0,1
5,2021-01-01,5:00,1,2
6,2021-01-01,6:00,0,2
7,2021-01-01,7:00,1,3
8,2021-01-01,8:00,0,3
9,2021-01-01,9:00,0,3
10,2021-01-01,10:00,1,4
11,2021-01-01,11:00,1,5
12,2021-01-01,12:00,0,5
13,2021-01-01,13:00,0,5
14,2021-01-01,14:00,0,5
15,2021-01-01,15:00,1,6
16,2021-01-01,16:00,0,6
17,2021-01-01,17:00,0,6
18,2021-01-01,18:00,0,6
19,2021-01-01,19:00,0,6
20,2021-01-01,20:00,0,6
21,2021-01-01,21:00,0,6
22,2021-01-01,22:00,0,6
23,2021-01-01,23:00,1,7
24,2021-01-02,0:00,1,1
25,2021-01-02,1:00,0,1
26,2021-01-02,2:00,0,1
27,2021-01-02,3:00,0,1
28,2021-01-02,4:00,0,1
29,2021-01-02,5:00,0,1
30,2021-01-02,6:00,0,1
31,2021-01-02,7:00,0,1
32,2021-01-02,8:00,0,1
33,2021-01-02,9:00,0,1
34,2021-01-02,10:00,0,1
35,2021-01-02,11:00,0,1
36,2021-01-02,12:00,0,1
37,2021-01-02,13:00,0,1
38,2021-01-02,14:00,0,1
39,2021-01-02,15:00,1,2
40,2021-01-02,16:00,0,2
41,2021-01-02,17:00,1,3
42,2021-01-02,18:00,0,3
43,2021-01-02,19:00,1,4
44,2021-01-02,20:00,1,5
45,2021-01-02,21:00,0,5
46,2021-01-02,22:00,0,5
47,2021-01-02,23:00,0,5
48,2021-01-03,0:00,0,0
49,2021-01-03,1:00,1,1
50,2021-01-03,2:00,0,1
51,2021-01-03,3:00,0,1
52,2021-01-03,4:00,0,1
53,2021-01-03,5:00,0,1
54,2021-01-03,6:00,1,2
55,2021-01-03,7:00,0,2
56,2021-01-03,8:00,1,3
57,2021-01-03,9:00,0,3
58,2021-01-03,10:00,0,3
59,2021-01-03,11:00,0,3
60,2021-01-03,12:00,1,4
61,2021-01-03,13:00,0,4
62,2021-01-03,14:00,0,4
63,2021-01-03,15:00,0,4
64,2021-01-03,16:00,0,4
65,2021-01-03,17:00,0,4
66,2021-01-03,18:00,0,4
67,2021-01-03,19:00,0,4
68,2021-01-03,20:00,0,4
69,2021-01-03,21:00,0,4
70,2021-01-03,22:00,0,4
71,2021-01-03,23:00,0,4
72,2021-01-04,0:00,0,0
73,2021-01-04,1:00,0,0
74,2021-01-04,2:00,1,1
75,2021-01-04,3:00,0,1
76,2021-01-04,4:00,0,1
77,2021-01-04,5:00,0,1
78,2021-01-04,6:00,1,2
79,2021-01-04,7:00,1,3
80,2021-01-04,8:00,0,3
81,2021-01-04,9:00,0,3
82,2021-01-04,10:00,0,3
83,2021-01-04,11:00,0,3
84,2021-01-04,12:00,1,4
85,2021-01-04,13:00,0,4
86,2021-01-04,14:00,0,4
87,2021-01-04,15:00,1,5
88,2021-01-04,16:00,0,5
89,2021-01-04,17:00,1,6
90,2021-01-04,18:00,0,6
91,2021-01-04,19:00,1,7
92,2021-01-04,20:00,1,8
93,2021-01-04,21:00,1,9
94,2021-01-04,22:00,1,10
95,2021-01-04,23:00,0,10
96,2021-01-05,0:00,0,0
97,2021-01-05,1:00,0,0
98,2021-01-05,2:00,0,0
99,2021-01-05,3:00,0,0
100,2021-01-05,4:00,0,0
101,2021-01-05,5:00,0,0
102,2021-01-05,6:00,1,1
103,2021-01-05,7:00,0,1
104,2021-01-05,8:00,1,2
105,2021-01-05,9:00,1,3
106,2021-01-05,10:00,0,3
107,2021-01-05,11:00,0,3
108,2021-01-05,12:00,1,4
109,2021-01-05,13:00,0,4
110,2021-01-05,14:00,0,4
111,2021-01-05,15:00,1,5
112,2021-01-05,16:00,1,6
113,2021-01-05,17:00,1,7
114,2021-01-05,18:00,0,7
115,2021-01-05,19:00,0,7
116,2021-01-05,20:00,0,7
117,2021-01-05,21:00,0,7
118,2021-01-05,22:00,0,7
119,2021-01-05,23:00,0,7
120,2021-01-06,0:00,1,1
121,2021-01-06,1:00,0,1
122,2021-01-06,2:00,1,2
123,2021-01-06,3:00,1,3
124,2021-01-06,4:00,1,4
125,2021-01-06,5:00,0,4
126,2021-01-06,6:00,0,4
127,2021-01-06,7:00,0,4
128,2021-01-06,8:00,0,4
129,2021-01-06,9:00,0,4
130,2021-01-06,10:00,0,4
131,2021-01-06,11:00,0,4
132,2021-01-06,12:00,0,4
133,2021-01-06,13:00,1,5
134,2021-01-06,14:00,0,5
135,2021-01-06,15:00,1,6
136,2021-01-06,16:00,0,6
137,2021-01-06,17:00,0,6
138,2021-01-06,18:00,1,7
139,2021-01-06,19:00,1,8
140,2021-01-06,20:00,0,8
141,2021-01-06,21:00,0,8
142,2021-01-06,22:00,0,8
143,2021-01-06,23:00,0,8
144,2021-01-07,0:00,0,0
145,2021-01-07,1:00,0,0
146,2021-01-07,2:00,0,0
147,2021-01-07,3:00,1,1
148,2021-01-07,4:00,0,1
149,2021-01-07,5:00,0,1
150,2021-01-07,6:00,1,2
151,2021-01-07,7:00,0,2
152,2021-01-07,8:00,0,2
153,2021-01-07,9:00,0,2
154,2021-01-07,10:00,0,2
155,2021-01-07,11:00,0,2
156,2021-01-07,12:00,0,2
157,2021-01-07,13:00,0,2
158,2021-01-07,14:00,0,2
159,2021-01-07,15:00,0,2
160,2021-01-07,16:00,0,2
161,2021-01-07,17:00,0,2
162,2021-01-07,18:00,0,2
163,2021-01-07,19:00,0,2
164,2021-01-07,20:00,1,3
165,2021-01-07,21:00,0,3
166,2021-01-07,22:00,1,4
167,2021-01-07,23:00,0,4
168,2021-01-08,0:00,1,1
169,2021-01-08,1:00,1,2
170,2021-01-08,2:00,0,2
171,2021-01-08,3:00,1,3
172,2021-01-08,4:00,0,3
173,2021-01-08,5:00,1,4
174,2021-01-08,6:00,1,5
175,2021-01-08,7:00,0,5
176,2021-01-08,8:00,0,5
177,2021-01-08,9:00,0,5
178,2021-01-08,10:00,0,5
179,2021-01-08,11:00,0,5
180,2021-01-08,12:00,0,5
181,2021-01-08,13:00,1,6
182,2021-01-08,14:00,0,6
183,2021-01-08,15:00,0,6
184,2021-01-08,16:00,1,7
185,2021-01-08,17:00,0,7
186,2021-01-08,18:00,1,8
187,2021-01-08,19:00,0,8
188,2021-01-08,20:00,1,9
189,2021-01-08,21:00,1,10
190,2021-01-08,22:00,0,10
191,2021-01-08,23:00,0,10
192,2021-01-09,0:00,1,1
193,2021-01-09,1:00,1,2
194,2021-01-09,2:00,1,3
195,2021-01-09,3:00,1,4
196,2021-01-09,4:00,0,4
197,2021-01-09,5:00,1,5
198,2021-01-09,6:00,0,5
199,2021-01-09,7:00,0,5
200,2021-01-09,8:00,0,5
201,2021-01-09,9:00,1,6
202,2021-01-09,10:00,0,6
203,2021-01-09,11:00,1,7
204,2021-01-09,12:00,0,7
205,2021-01-09,13:00,1,8
206,2021-01-09,14:00,0,8
207,2021-01-09,15:00,0,8
208,2021-01-09,16:00,0,8
209,2021-01-09,17:00,0,8
210,2021-01-09,18:00,1,9
211,2021-01-09,19:00,0,9
212,2021-01-09,20:00,1,10
213,2021-01-09,21:00,0,10
214,2021-01-09,22:00,0,10
215,2021-01-09,23:00,0,10
216,2021-01-10,0:00,0,0
217,2021-01-10,1:00,1,1
218,2021-01-10,2:00,0,1
219,2021-01-10,3:00,0,1
220,2021-01-10,4:00,0,1
221,2021-01-10,5:00,1,2
222,2021-01-10,6:00,0,2
223,2021-01-10,7:00,0,2
224,2021-01-10,8:00,0,2
225,2021-01-10,9:00,1,3
226,2021-01-10,10:00,1,4
227,2021-01-10,11:00,0,4
228,2021-01-10,12:00,0,4
229,2021-01-10,13:00,0,4
230,2021-01-10,14:00,0,4
231,2021-01-10,15:00,0,4
232,2021-01-10,16:00,0,4
233,2021-01-10,17:00,0,4
234,2021-01-10,18:00,0,4
235,2021-01-10,19:00,0,4
236,2021-01-10,20:00,0,4
237,2021-01-10,21:00,0,4
238,2021-01-10,22:00,1,5
239,2021-01-10,23:00,0,5
240,2021-01-11,0:00,1,1
241,2021-01-11,1:00,1,2
242,2021-01-11,2:00,0,2
243,2021-01-11,3:00,0,2
244,2021-01-11,4:00,0,2
245,2021-01-11,5:00,0,2
246,2021-01-11,6:00,0,2
247,2021-01-11,7:00,1,3
248,2021-01-11,8:00,0,3
249,2021-01-11,9:00,0,3
250,2021-01-11,10:00,0,3
251,2021-01-11,11:00,0,3
252,2021-01-11,12:00,0,3
253,2021-01-11,13:00,0,3
254,2021-01-11,14:00,0,3
255,2021-01-11,15:00,0,3
256,2021-01-11,16:00,0,3
257,2021-01-11,17:00,0,3
258,2021-01-11,18:00,1,4
259,2021-01-11,19:00,0,4
260,2021-01-11,20:00,0,4
261,2021-01-11,21:00,0,4
262,2021-01-11,22:00,0,4
263,2021-01-11,23:00,1,5
264,2021-01-12,0:00,0,0
265,2021-01-12,1:00,1,1
266,2021-01-12,2:00,0,1
267,2021-01-12,3:00,0,1
268,2021-01-12,4:00,1,2
269,2021-01-12,5:00,0,2
270,2021-01-12,6:00,0,2
271,2021-01-12,7:00,0,2
272,2021-01-12,8:00,0,2
273,2021-01-12,9:00,0,2
274,2021-01-12,10:00,1,3
275,2021-01-12,11:00,1,4
276,2021-01-12,12:00,0,4
277,2021-01-12,13:00,0,4
278,2021-01-12,14:00,1,5
279,2021-01-12,15:00,0,5
280,2021-01-12,16:00,0,5
281,2021-01-12,17:00,0,5
282,2021-01-12,18:00,1,6
283,2021-01-12,19:00,1,7
284,2021-01-12,20:00,0,7
285,2021-01-12,21:00,0,7
286,2021-01-12,22:00,0,7
287,2021-01-12,23:00,0,7
288,2021-01-13,0:00,0,0
289,2021-01-13,1:00,1,1
290,2021-01-13,2:00,1,2
291,2021-01-13,3:00,0,2
292,2021-01-13,4:00,0,2
293,2021-01-13,5:00,0,2
294,2021-01-13,6:00,0,2
295,2021-01-13,7:00,0,2
296,2021-01-13,8:00,0,2
297,2021-01-13,9:00,1,3
298,2021-01-13,10:00,0,3
299,2021-01-13,11:00,1,4
300,2021-01-13,12:00,0,4
301,2021-01-13,13:00,0,4
302,2021-01-13,14:00,0,4
303,2021-01-13,15:00,1,5
304,2021-01-13,16:00,0,5
305,2021-01-13,17:00,0,5
306,2021-01-13,18:00,1,6
307,2021-01-13,19:00,0,6
308,2021-01-13,20:00,0,6
309,2021-01-13,21:00,0,6
310,2021-01-13,22:00,0,6
311,2021-01-13,23:00,0,6
312,2021-01-14,0:00,0,0
313,2021-01-14,1:00,0,0
314,2021-01-14,2:00,0,0
315,2021-01-14,3:00,1,1
316,2021-01-14,4:00,1,2
317,2021-01-14,5:00,0,2
318,2021-01-14,6:00,0,2
319,2021-01-14,7:00,0,2
320,2021-01-14,8:00,1,3
321,2021-01-14,9:00,1,4
322,2021-01-14,10:00,1,5
323,2021-01-14,11:00,0,5
324,2021-01-14,12:00,0,5
325,2021-01-14,13:00,0,5
326,2021-01-14,14:00,1,6
327,2021-01-14,15:00,0,6
328,2021-01-14,16:00,0,6
329,2021-01-14,17:00,0,6
330,2021-01-14,18:00,0,6
331,2021-01-14,19:00,0,6
332,2021-01-14,20:00,0,6
333,2021-01-14,21:00,0,6
334,2021-01-14,22:00,0,6
335,2021-01-14,23:00,0,6
336,2021-01-15,0:00,1,1
337,2021-01-15,1:00,1,2
338,2021-01-15,2:00,0,2
339,2021-01-15,3:00,0,2
340,2021-01-15,4:00,1,3
341,2021-01-15,5:00,0,3
342,2021-01-15,6:00,1,4
343,2021-01-15,7:00,1,5
344,2021-01-15,8:00,0,5
345,2021-01-15,9:00,0,5
346,2021-01-15,10:00,1,6
347,2021-01-15,11:00,1,7
348,2021-01-15,12:00,0,7
349,2021-01-15,13:00,0,7
350,2021-01-15,14:00,0,7
351,2021-01-15,15:00,0,7
352,2021-01-15,16:00,0,7
353,2021-01-15,17:00,0,7
354,2021-01-15,18:00,0,7
355,2021-01-15,19:00,1,8
356,2021-01-15,20:00,0,8
357,2021-01-15,21:00,0,8
358,2021-01-15,22:00,0,8
359,2021-01-15,23:00,0,8
360,2021-01-16,0:00,0,0
361,2021-01-16,1:00,0,0
362,2021-01-16,2:00,0,0
363,2021-01-16,3:00,0,0
364,2021-01-16,4:00,0,0
365,2021-01-16,5:00,0,0
366,2021-01-16,6:00,0,0
367,2021-01-16,7:00,0,0
368,2021-01-16,8:00,0,0
369,2021-01-16,9:00,0,0
370,2021-01-16,10:00,1,1
371,2021-01-16,11:00,0,1
372,2021-01-16,12:00,0,1
373,2021-01-16,13:00,0,1
374,2021-01-16,14:00,0,1
375,2021-01-16,15:00,0,1
376,2021-01-16,16:00,1,2
377,2021-01-16,17:00,0,2
378,2021-01-16,18:00,0,2
379,2021-01-16,19:00,0,2
380,2021-01-16,20:00,0,2
381,2021-01-16,21:00,1,3
382,2021-01-16,22:00,0,3
383,2021-01-16,23:00,0,3
384,2021-01-17,0:00,0,0
385,2021-01-17,1:00,0,0
386,2021-01-17,2:00,1,1
387,2021-01-17,3:00,0,1
388,2021-01-17,4:00,0,1
389,2021-01-17,5:00,0,1
390,2021-01-17,6:00,1,2
391,2021-01-17,7:00,0,2
392,2021-01-17,8:00,0,2
393,2021-01-17,9:00,1,3
394,2021-01-17,10:00,1,4
395,2021-01-17,11:00,0,4
396,2021-01-17,12:00,0,4
397,2021-01-17,13:00,0,4
398,2021-01-17,14:00,1,5
399,2021-01-17,15:00,0,5
400,2021-01-17,16:00,0,5
401,2021-01-17,17:00,0,5
402,2021-01-17,18:00,1,6
403,2021-01-17,19:00,1,7
404,2021-01-17,20:00,0,7
405,2021-01-17,21:00,0,7
406,2021-01-17,22:00,0,7
407,2021-01-17,23:00,1,8
408,2021-01-18,0:00,0,0
409,2021-01-18,1:00,0,0
410,2021-01-18,2:00,0,0
411,2021-01-18,3:00,0,0
412,2021-01-18,4:00,0,0
413,2021-01-18,5:00,0,0
414,2021-01-18,6:00,0,0
415,2021-01-18,7:00,1,1
416,2021-01-18,8:00,0,1
417,2021-01-18,9:00,0,1
418,2021-01-18,10:00,0,1
419,2021-01-18,11:00,0,1
420,2021-01-18,12:00,1,2
421,2021-01-18,13:00,0,2
422,2021-01-18,14:00,0,2
423,2021-01-18,15:00,1,3
424,2021-01-18,16:00,0,3
425,2021-01-18,17:00,0,3
426,2021-01-18,18:00,1,4
427,2021-01-18,19:00,0,4
428,2021-01-18,20:00,0,4
429,2021-01-18,21:00,1,5
430,2021-01-18,22:00,0,5
431,2021-01-18,23:00,0,5
432,2021-01-19,0:00,1,1
433,2021-01-19,1:00,0,1
434,2021-01-19,2:00,1,2
435,2021-01-19,3:00,0,2
436,2021-01-19,4:00,1,3
437,2021-01-19,5:00,0,3
438,2021-01-19,6:00,1,4
439,2021-01-19,7:00,0,4
440,2021-01-19,8:00,1,5
441,2021-01-19,9:00,0,5
442,2021-01-19,10:00,0,5
443,2021-01-19,11:00,0,5
444,2021-01-19,12:00,0,5
445,2021-01-19,13:00,0,5
446,2021-01-19,14:00,1,6
447,2021-01-19,15:00,1,7
448,2021-01-19,16:00,0,7
449,2021-01-19,17:00,0,7
450,2021-01-19,18:00,1,8
451,2021-01-19,19:00,0,8
452,2021-01-19,20:00,0,8
453,2021-01-19,21:00,0,8
454,2021-01-19,22:00,1,9
455,2021-01-19,23:00,0,9
456,2021-01-20,0:00,0,0
457,2021-01-20,1:00,1,1
458,2021-01-20,2:00,1,2
459,2021-01-20,3:00,1,3
460,2021-01-20,4:00,0,3
461,2021-01-20,5:00,0,3
462,2021-01-20,6:00,0,3
463,2021-01-20,7:00,1,4
464,2021-01-20,8:00,0,4
465,2021-01-20,9:00,1,5
466,2021-01-20,10:00,0,5
467,2021-01-20,11:00,0,5
468,2021-01-20,12:00,0,5
469,2021-01-20,13:00,1,6
470,2021-01-20,14:00,0,6
471,2021-01-20,15:00,0,6
472,2021-01-20,16:00,0,6
473,2021-01-20,17:00,0,6
474,2021-01-20,18:00,0,6
475,2021-01-20,19:00,0,6
476,2021-01-20,20:00,1,7
477,2021-01-20,21:00,1,8
478,2021-01-20,22:00,0,8
479,2021-01-20,23:00,0,8
480,2021-01-21,0:00,0,0
481,2021-01-21,1:00,1,1
482,2021-01-21,2:00,1,2
483,2021-01-21,3:00,0,2
484,2021-01-21,4:00,0,2
485,2021-01-21,5:00,0,2
486,2021-01-21,6:00,0,2
487,2021-01-21,7:00,0,2
488,2021-01-21,8:00,1,3
489,2021-01-21,9:00,0,3
490,2021-01-21,10:00,0,3
491,2021-01-21,11:00,0,3
492,2021-01-21,12:00,0,3
493,2021-01-21,13:00,0,3
494,2021-01-21,14:00,1,4
