,이름,주소,위도,경도,단어
0,단봉낚시터,강원도 동해시 봉정2길 95-9,37.46989535,129.1218004,"['강원', '강원도', '동해', '동해시', '봉정', '봉정2길', '2', '길']"
1,도깨비낚시터,강원도 횡성군 우천면 백달리 8,37.44348486,128.0719036,"['강원', '강원도', '횡성', '횡성군', '우천', '우천면', '면', '백', '백달', '달', '8']"
2,새말낚시터,강원도 횡성군 우천면 문암리 229,37.467563,128.0436703,"['강원', '강원도', '횡성', '횡성군', '우천', '우천면', '면', '문', '문암', '암', '229']"
3,대영낚시터,강원도 횡성군 공근면 부창리 546-2,37.585641,127.9945217,"['강원', '강원도', '횡성', '횡성군', '공근', '공근면', '면', '부', '부창', '창']"
4,현천낚시터,강원도 횡성군 둔내면 현천리 821-2,37.48341109,128.175495,"['강원', '강원도', '횡성', '횡성군', '둔내', '둔내면', '면', '현천']"
5,굴운낚시터,강원도 홍천군 화촌면 굴운리 642,37.72329121,127.966379,"['강원', '강원도', '홍천', '홍천군', '화촌', '화촌면', '면', '굴', '굴운리', '운', '리', '642']"
6,구만리낚시터,강원도 홍천군 북방면 구만리 781,37.71172345,127.7018265,"['강원', '강원도', '홍천', '홍천군', '북방', '북방면', '면', '구만리', '781']"
7,모곡낚시터,강원도 홍천군 서면 모곡리 1134-2,37.69567811,127.5743335,"['강원', '강원도', '홍천', '홍천군', '서면', '곡']"
8,시동유정낚시터,강원도 홍천군 남면 시동1리 1158-2,37.59204491,127.8245737,"['강원', '강원도', '홍천', '홍천군', '남면', '시동', '시동1리', '1', '리']"
9,백달낚시터,강원도 횡성군 우천면 백달리 180,37.439543,128.064043,"['강원', '강원도', '횡성', '횡성군', '우천', '우천면', '면', '백', '백달', '달', '180']"
10,산내들낚시터,강원도 철원군 김화읍 연동길33,38.2358501,127.3635403,"['강원', '강원도', '철원', '철원군', '김화', '김화읍', '연동', '연동길33', '길', '33']"
11,소금강가족낚시터,강원도 강릉시 연곡면 신왕길 388-64,37.83101752,128.7704452,"['강원', '강원도', '강릉', '강릉시', '연곡', '연곡면', '면', '신왕', '신왕길', '길']"
12,샘골낚시터,강원도 춘천시 서면  방동샘골길 35,37.91093534,127.6682809,"['강원', '강원도', '춘천', '춘천시', '서면', '방동', '방동샘골길', '샘', '골', '길', '35']"
13,하늘낚시공원낚시터,강원도 춘천시 서면 당숲안길 61,37.8363223,127.6066043,"['강원', '강원도', '춘천', '춘천시', '서면', '당', '당숲안길', '숲', '안', '길', '61']"
14,은행나무하우스낚시터,강원도 춘천시 신동면 경춘로 1773,37.82288536,127.6968575,"['강원', '강원도', '춘천', '춘천시', '신동', '신동면', '면', '경', '로', '1773']"
15,춘천실내낚시터,강원도 춘천시 공지로 210,37.86260418,127.7402415,"['강원', '강원도', '춘천', '춘천시', '공지', '210']"
16,소양계곡낚시터,강원도 춘천시 서면 율장길 266,37.86083152,127.583055,"['강원', '강원도', '춘천', '춘천시', '서면', '율장', '율장길', '길', '266']"
17,말고개낚시터,강원도 춘천시 사북면 말고개길 307,38.01347085,127.6263903,"['강원', '강원도', '춘천', '춘천시', '사북', '사북면', '면', '말고개', '말고개길', '길', '307']"
18,팔미리낚시터,강원도 춘천시 신동면 경춘로 1817,37.82101654,127.7008514,"['강원', '강원도', '춘천', '춘천시', '신동', '신동면', '면', '경', '로', '1817']"
19,은파정낚시터,강원도 춘천시 동산면 영서로 287-17,37.75582631,127.8117096,"['강원', '강원도', '춘천', '춘천시', '동산', '동산면', '면', '영서']"
20,고산낚시터,강원도 원주시 호저면 호저로 1140,37.466789,127.918048,"['강원', '강원도', '원주', '원주시', '호저', '호저면', '면', '호저', '1140']"
21,서곡낚시터,강원도 원주시 판부면 백운정길 46,37.298324,127.932703,"['강원', '강원도', '원주', '원주시', '판부', '판부면', '면', '백운', '백운정길', '정', '길', '46']"
22,추곡터널낚시터,강원도 춘천시 북산면 춘양로 1452,38.03376186,127.8763568,"['강원', '강원도', '춘천', '춘천시', '북산', '북산면', '면', '춘양', '1452']"
23,강촌체험낚시터,강원도 춘천시 남면 박암관천길 511-55,37.72123128,127.5391075,"['강원', '강원도', '춘천', '춘천시', '남면', '박', '박암관천길', '암관', '천', '길']"
24,거두리낚시터,강원도 춘천시 동내면 거두길 282-8,37.86044343,127.7888514,"['강원', '강원도', '춘천', '춘천시', '동내', '동내면', '면', '거두', '거두길', '길']"
25,유포리낚시터,강원도 춘천시 신북읍 맥국3길 15-28,37.94676571,127.7748379,"['강원', '강원도', '춘천', '춘천시', '신북', '신북읍', '맥', '맥국3길', '국', '3', '길']"
26,송어축제,"강원도 원주시 판부면 매봉길 31, 1층",37.3212032,127.9440331,"['강원', '강원도', '원주', '원주시', '판부', '판부면', '면', '매', '매봉길', '봉', '길', '31', '1', '1층', '층']"
27,이무기낚시터,강원도 원주시 소초면 신양선녀길 99,37.413059,127.972658,"['강원', '강원도', '원주', '원주시', '소초', '소초면', '면', '신양', '신양선녀길', '선녀', '길', '99']"
28,단강낚시터,강원도 원주시 부론면 섬뜰작실길 26-59,37.156403,127.790081,"['강원', '강원도', '원주', '원주시', '부론', '부론면', '면', '섬', '섬뜰작실', '뜰', '작', '실', '길']"
29,취병낚시터,강원도 원주시 문막읍 취병리 731,37.325026,127.785414,"['강원', '강원도', '원주', '원주시', '문막', '문막읍', '취병', '731']"
30,신선낚시터,강원도 원주시 한가터길 100,37.328381,128.001653,"['강원', '강원도', '원주', '원주시', '가터', '가터길', '길', '100']"
31,도곡낚시터,강원도 원주시 소초면 장수1로 191,37.396068,127.976141,"['강원', '강원도', '원주', '원주시', '소초', '소초면', '면', '장수', '장수1', '1', '191']"
32,호저낚시터,강원도 원주시 호저면 평천1길 21,37.42208,127.921589,"['강원', '강원도', '원주', '원주시', '호저', '호저면', '면', '평', '평천1길', '천', '1', '길', '21']"
33,물고기마을,강원도 원주시 흥업면 사제리 92-1,37.332017,127.894424,"['강원', '강원도', '원주', '원주시', '흥업', '흥업면', '면', '사제']"
34,탑전낚시터,강원도 원주시 문막읍 동화리 1282-7,37.332365,127.828872,"['강원', '강원도', '원주', '원주시', '문막', '문막읍', '동화']"
35,승안낚시터,강원도 원주시 흥업면 돼니길 32-39,37.314986,127.875357,"['강원', '강원도', '원주', '원주시', '흥업', '흥업면', '면', '길']"
36,돌모루낚시터,강원도 원주시 소초면 흥양리 1649-3,37.381465,127.975253,"['강원', '강원도', '원주', '원주시', '소초', '소초면', '면', '흥', '흥양리', '양리']"
37,금천가든낚시터,"강원도 태백시 금천길 159, 금천가든낚시터 (금천동)",37.094038,128.994978,"['강원', '강원도', '태백', '태백시', '금', '금천길', '천', '길', '159', '금천가든낚시터', '가든', '금천', '금천동', '동']"
